TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_VL_LIQUIDEZ_0;TAB_X_VL_LIQUIDEZ_30;TAB_X_VL_LIQUIDEZ_60;TAB_X_VL_LIQUIDEZ_90;TAB_X_VL_LIQUIDEZ_180;TAB_X_VL_LIQUIDEZ_360;TAB_X_VL_LIQUIDEZ_MAIOR_360
Classe;57.811.727/0001-76;TERA CRED FV FI EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.812.456/0001-73;ARTESANAL CDI+ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS II -;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.816.252/0001-00;NATURA PAY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PESSOAL SOCIAL E IS RESP LTDA;2025-06-30;0.00;139309217.76;107225614.70;60533935.63;49670521.35;603110.18;0.00
Classe;57.823.707/0001-15;ICRED INSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;2355078.40;6759395.00;6653345.00;6549253.00;19056722.00;35569194.00;215301340.00
Classe;57.832.889/0001-90;ALDEBARAN III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;0.00;16871155.02;17128055.39;14420924.86;47931161.70;78022269.94;147436639.09
Classe;57.833.038/0001-62;ALDEBARAN II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS -  RESPONSABILIDADE LIMITADA;2025-06-30;0.00;211486704.11;202797984.91;146778838.93;36928497.46;0.00;0.00
Classe;57.836.076/0001-79;7INVEST CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;4281764.25;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.883.732/0001-94;IC LESTE PROSOLUTTI CRÉDITOS TRABALHISTAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.888.289/0001-44;ELITE YIELD FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;7289.78;0.00;0.00;0.00;0.00;0.00;17380110.02
Classe;57.889.361/0001-58;FRUTOS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.908.380/0001-84;OBY CRÉDITO 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.922.500/0001-06;AGGA PROSPERITAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.933.661/0001-97;CIBRA FIAGRO - DIREITOS CREDITÓRIOS COMERCIAIS - RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.941.435/0001-58;EJM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;57.967.745/0001-41;STRONG BASE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO SEGMENTO ECONÔMICO DE TELECOMUNICAÇÕES;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
